id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22015472	1	질문자	휴, 집에 책이 너무 많아서 둘 데는 없는데 사고 싶은 건 또 많아서 고민이네요. 좀 더 알뜰하게 책을 소비할 수 있는 방법은 없을까요? 버리긴 아까운데 팔 수 있나요?				0	2022-10-09 10:31:50	2022-10-21 08:45:24
BK22015472	2	전문가	오, 그럼요. 집에 가지고 있던 책을 처분해서 그 금액으로 다른 책을 사봐요. 그럼 책 사는 비용에 드는 부담도 덜하고 보관할 공간 마련하는 스트레스도 줄일 수 있잖아요.	알뜰한 책 소비 방법	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-20 17:45:07
BK22015472	3	질문자	아하, 안 보는 책들은 좀 팔아볼까요? 요즘은 책 어떻게 팔아요?				0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	4	전문가	요즘은 중고거래 플랫폼을 활용해 책을 팔기도 해요. 당근마켓이나 중고나라, 번개장터 같은 곳이요. 서점에 파는 거랑 비교하면 가격을 올려서 팔 수 있어요. 그런데 한 가지 단점은 판매가 될 때까지 좀 오래 기다려야 할 수도 있다는 거예요.	중고거래 플랫폼으로 책 팔기	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	5	질문자	맞다, 중고거래 하는 방법이 있었네요! 왜 생각을 못했는지, 참! 근데 혹시 서점에 책을 팔 수도 있나요?				0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	6	전문가	그럼요. 서점 중에 알라딘이랑 예스24가 중고책 관련 거래 서비스를 제공하고 있어요. 책 제목이나 ISBN 같은 걸 입력하면 얼마에 팔 수 있는지 바로 확인이 가능해서 좋고요.	중고서점에 책 팔기	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	7	질문자	오, 대략적인 판매 금액을 알 수 있는 거 너무 좋네요. 그럼 책만 보내면 바로 그 금액을 받을 수 있나요?				0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	8	전문가	근데 꼭 그렇진 않은 게, 책을 보내면 심사를 해서 결과에 따라 기존에 알려준 금액보다 낮은 금액을 받을 수도 있어요. 이 부분은 감안을 하는 게 좋아요.	중고서점 가격 책정 유동적	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	9	질문자	아, 실물 상태도 같이 확인하는군요. 그러고 보니 알라딘은 중고서점이 꽤 크다는 얘기를 들었던 것 같은데 자체적인 서비스도 운영하고 있나요?				0	2022-10-09 10:31:50	2022-10-09 15:56:29
BK22015472	10	전문가	알라딘은 슈퍼바이백이라는 중고책 서비스를 별도로 운영하고 있어요. 알라딘 서점에서 새 책을 사서 6개월 내에 읽고 알라딘 중고서점에 다시 팔면 구매했을 당시의 가격에서 55%에 해당하는 금액을 매입가로 책정해줘요.	알라딘 슈퍼바이백 서비스	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	11	질문자	와, 소비자한테는 꽤 이득이 될 수 있는 제도네요. 집에 가서 관련 정보를 좀 더 찾아봐야겠어요. 생각해 보니 책도 구독 형식으로 다달이 빌려 볼 수 있으면 참 좋겠는데, 그런 서비스는 없겠죠?				0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	12	전문가	아~ 플라이북이라는 독서앱이 그런 형식이긴 해요. 이용자들의 취향을 베이스로 도서를 선정해서 매달 집으로 배달해주는 멤버십 서비스예요. 한 달에 1만 9900원이면 이용할 수 있는데 앱을 통해 책을 사면 정가의 5% 정도를 포인트로 적립해주기도 하죠.	독서앱 플라이북 운영 서비스	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	13	질문자	오호, 그런식으로 운영하기도 하는군요. 그럼 전자책까지 같이 되는 서비스도 운영되고 있나요?				0	2022-10-09 10:31:50	2022-10-09 15:56:29
BK22015472	14	전문가	요즘 밀리의서재에서 관련 서비스를 운영 중이긴 해요. 한 달에 1만 5900원을 내면 전자책을 무제한으로 볼 수 있고 2개월마다 종이책도 배달해줘요. 책은 밀리의서재 쪽에서 제안한 8, 9가지 중 하나를 고를 수 있고요.	밀리의 서재 운영 서비스	https://www.dailypop.kr/news/articleView.html?idxno=62961	2022/09/22	0	2022-10-09 10:31:50	2022-10-09 15:56:29
BK22015472	15	질문자	와, 새삼 구독 서비스가 참 다양하네요. 원래는 도서관을 자주 이용했는데 매번 이용자가 많아서 예약해야 하니까 불편했거든요. 도서관도 서비스가 개선되면 좋을 텐데 아직 시기상조이려나요?				0	2022-10-09 10:31:50	2022-10-09 15:56:29
BK22015472	16	전문가	근데 꼭 그렇지도 않아요. 경기도사이버도서관이라고, 이용자들이 매달 전자책 20권씩 구독해서 볼 수 있는 서비스도 있거든요. 기존에 많이 적용되던 전자책 서비스 방식과는 다르게, 인기가 많은 책도 이용자 수가 많든, 적든 동시에 무제한으로 이용할 수 있어요.	경기도사이버도서관 운영 방식	https://www.hani.co.kr/arti/society/schooling/1060245.html	2022/09/27	0	2022-10-09 10:31:50	2022-10-09 10:31:50
BK22015472	17	질문자	와, 대기 없이 빌릴 수 있다는 건 너무 좋네요.				0	2022-10-09 10:31:50	2022-10-09 15:56:29
BK22015472	18	전문가	요즘은 다양한 방식으로 책을 사고, 읽어보고 할 수 있으니까 궁금이님 고민도 한결 해결이 될 거예요.				0	2022-10-09 10:31:50	2022-10-09 15:56:29
BK22015472	19	질문자	인사치레가 아니고 정말 전문가님 덕분에 고민이 말끔히 해결됐어요. 이렇게 좋은 정보들을 알려주셔서 너무 감사해요!				1	2022-10-09 10:31:50	2022-10-21 08:45:24
BK22015472	20	전문가	궁금이님이 좋아하시니 저도 기분이 좋네요. 집에 조심히 들어가고 다음에 또 이야기 나눠요!				0	2022-10-09 10:31:50	2022-10-09 10:31:50
