id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22002406	1	질문자	요즘 방 알아보고 있다더니 어느 지역으로 알아보고 있어?				0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	2	전문가	나 서울 북동부에 있는 성북구 쪽으로 알아보고 있어. 그 북한산 아래 지역이야.	성북구	https://ko.wikipedia.org/wiki/%EC%84%B1%EB%B6%81%EA%B5%AC	2022/07/05	0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	3	질문자	그렇구나, 그쪽 집값이 좀 저렴한 편이야?				0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	4	전문가	응, 강북쪽이 집값이 떨어져서 서울 안에서는 상대적으로 저렴한 편이야.	성북구 집값	https://news.mtn.co.kr/news-detail/2022031516214557524	2022/03/16	0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	5	질문자	아휴, 그래도 서울이면 집값이 만만치 않겠다.				0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	6	전문가	응 그래서 lh 전세, 매입임대주택도 같이 알아보는 중이야. 이게 만 19세 이상 만39세 이하 미혼 청년 중에서 무주택자랑 소득자산 조건에 맞는 사람들 대상으로 시세의 40퍼센트 수준으로 주거공간을 제공해주는 제도거든.	lh청년전세임대주택	https://ilyo.co.kr/?ac=article_view&entry_id=432618	2022/07/16	0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	7	질문자	오, 엄청 저렴하게 방을 구할 수 있는 제도네.				0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	8	전문가	응, 그냥 서울에서 집 구하려면 아파트 평균 전세값이 약 6억 7800만원이란 말이야. 4년 만에 거의 2억 3000만원이 오른 가격이야. 이 미친 전세값에 나처럼 돈없는 청년들한텐 너무 좋은 제도지.	서울 평균 전세값	https://www.news1.kr/articles/?4751027	2022/07/24	0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	9	질문자	근데 그런 좋은 제도라면 경쟁률이 엄청 심하겠는데?				0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	10	전문가	응 맞아. 이번에 서울에만 총 263가구가 공급됐는데 평균 경쟁률이 102.3대 1이야.	lh 청년주택 경쟁률	https://www.mk.co.kr/news/realestate/view/2022/07/605978/	2022/07/10	0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	11	질문자	100대 1이 넘는다니 미쳤는데? 당첨되는 게 하늘의 별따기네.				0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	12	전문가	그래도 당첨만 되면 거주기간도 최대 6년까지라서 4년이 주거 기간 보장인 일반 전세보다도 오래 살 수 있어서 너무 좋은 곳이야.	lh 청년주택 거주기간	https://www.fnnews.com/news/202207031736060820	2022/07/03	0	2022-08-02 12:16:18	2022-08-02 13:43:44
BK22002406	13	질문자	아 장점이 진짜 많긴 하네. 그럼 선발할 때 우선 순위를 가르는 조건도 있어?				0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	14	전문가	선발대상인 무주택자 미혼 청년들 중에서도 소득수준을 따져서 입주 순위가 갈려.	lh 청년주택 입주 순위	https://news.mt.co.kr/mtview.php?no=2022070118075215858	2022/07/03	0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	15	질문자	너는 몇 순위 범위에 들어가?				0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	16	전문가	나는 나랑 부모님 월평균소득 합이 도시근로자 월평균 소득의 100프로 이하인 청년에 해당하는 2순위에 들어가.	lh 청년주택 2순위	https://www.kukinews.com/newsView/kuk202206230081	2022/06/23	0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	17	질문자	그렇구나, 꼭 당첨됐으면 좋겠다.				0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	18	전문가	그러게, 제발 당첨시켜달라고 매일 밤 기도하고 있어.				0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	19	질문자	나도 같이 응원할게 당첨되면 꼭 소식 전해줘!				0	2022-08-02 12:16:19	2022-08-02 13:43:44
BK22002406	20	전문가	고마워, 당첨되면 꼭 집들이 초대할게!				1	2022-08-02 12:16:19	2022-08-02 15:18:52
